method,threshold,precision,recall,f1
sigmoid,0.1,0.2127,0.6144,0.316
sigmoid,0.15,0.2508,0.4837,0.3304
sigmoid,0.2,0.2884,0.4052,0.337
sigmoid,0.25,0.331,0.3137,0.3221
sigmoid,0.3,0.3243,0.1569,0.2115
sigmoid,0.35,0.3462,0.0588,0.1006
sigmoid,0.4,0.3333,0.0131,0.0252
sigmoid,0.45,0.0,0.0,0.0
sigmoid,0.5,0.0,0.0,0.0
sigmoid,0.55,0.0,0.0,0.0
sigmoid,0.6,0.0,0.0,0.0
sigmoid,0.65,0.0,0.0,0.0
sigmoid,0.7,0.0,0.0,0.0
sigmoid,0.75,0.0,0.0,0.0
sigmoid,0.8,0.0,0.0,0.0
sigmoid,0.85,0.0,0.0,0.0
sigmoid,0.9,0.0,0.0,0.0
