threshold,precision,recall,f1,predicted_positive_rate
0.1,0.1164,0.9869,0.2083,0.7889
0.15,0.1306,0.9542,0.2297,0.68
0.2,0.1494,0.9412,0.2578,0.5864
0.25,0.1641,0.8889,0.277,0.5043
0.3,0.1807,0.8431,0.2976,0.4343
0.35,0.1955,0.8039,0.3146,0.3826
0.4,0.2149,0.7908,0.338,0.3425
0.45,0.2285,0.7647,0.3519,0.3114
0.5,0.2472,0.732,0.3696,0.2755
0.55,0.267,0.6928,0.3855,0.2415
0.6,0.2813,0.6601,0.3945,0.2184
0.65,0.3115,0.6209,0.4148,0.1855
0.7,0.3586,0.5882,0.4455,0.1527
0.75,0.3939,0.5098,0.4444,0.1204
0.8,0.4156,0.4183,0.4169,0.0937
0.85,0.4602,0.3399,0.391,0.0687
0.9,0.5077,0.2157,0.3028,0.0395
